age,gender,weight_kg,activity_level,purpose,lean_body_mass_kg,bmr,protein_need_per_lean_kg_sedentary,protein_need_per_lean_kg_active,protein_need_per_lean_kg_very_active,protein_per_kg_min,protein_per_kg_moderate,protein_per_kg_max,activity_protein_multiplier,adjusted_protein_need,age_protein_factor,protein_for_age_group,gender_protein_base,protein_gender_adjusted,purpose_protein_multiplier,protein_for_purpose,lean_to_total_ratio,muscle_mass_score,bmr_per_kg,protein_metabolic_need,training_intensity,recovery_protein_need,protein_g
32,Male,83.2,moderately_active,weight_loss,59.4,1680,95.04,130.68,154.44,66.56,99.84,166.4,1.4,166.32,1,99.84,1.4,116.48,1.3,154.44,0.713942308,42.40817308,20.19230769,16.8,0,106.92,153
17,Male,66.8,moderately_active,muscle_gain,57.4,1651,91.84,126.28,149.24,53.44,80.16,133.6,1.4,160.72,1,80.16,1.4,93.52,1,114.8,0.859281437,49.32275449,24.71556886,16.51,2,126.28,130
37,Female,61.9,sedentary,weight_loss,40.1,1229,64.16,88.22,104.26,49.52,74.28,123.8,0.8,64.16,1,74.28,1.2,74.28,1.3,104.26,0.647819063,25.97754443,19.8546042,12.29,0,72.18,118
20,Male,71.6,sedentary,weight_loss,58.5,1661,93.6,128.7,152.1,57.28,85.92,143.2,0.8,93.6,1,85.92,1.4,100.24,1.3,152.1,0.817039106,47.79678771,23.19832402,16.61,0,105.3,133
63,Male,68.8,very_active,weight_loss,49.7,1432,79.52,109.34,129.22,55.04,82.56,137.6,1.7,168.98,1.2,99.072,1.4,96.32,1.3,129.22,0.722383721,35.90247093,20.81395349,14.32,0,89.46,135
19,Female,43.4,sedentary,muscle_gain,34.9,1154,55.84,76.78,90.74,34.72,52.08,86.8,0.8,55.84,1,52.08,1.2,52.08,1,69.8,0.804147465,28.06474654,26.58986175,11.54,0,62.82,82
30,Male,62.6,moderately_active,weight_loss,51.4,1504,82.24,113.08,133.64,50.08,75.12,125.2,1.4,143.92,1,75.12,1.4,87.64,1.3,133.64,0.821086262,42.20383387,24.02555911,15.04,0,92.52,118
52,Female,67.1,lightly_active,maintain,41.7,1259,66.72,91.74,108.42,53.68,80.52,134.2,1.1,91.74,1.2,96.624,1.2,80.52,1,83.4,0.621460507,25.91490313,18.76304024,12.59,1,83.4,71
54,Male,63,lightly_active,weight_loss,50.1,1461,80.16,110.22,130.26,50.4,75.6,126,1.1,110.22,1.2,90.72,1.4,88.2,1.3,130.26,0.795238095,39.84142857,23.19047619,14.61,0,90.18,141
37,Male,71,moderately_active,maintain,54,1548,86.4,118.8,140.4,56.8,85.2,142,1.4,151.2,1,85.2,1.4,99.4,1,108,0.76056338,41.07042254,21.8028169,15.48,2,118.8,99
47,Male,82.3,extra_active,weight_loss,58.6,1647,93.76,128.92,152.36,65.84,98.76,164.6,0.8,93.76,1,98.76,1.4,115.22,1.3,152.36,0.712029162,41.72490887,20.01215067,16.47,0,105.48,150
25,Female,67.6,sedentary,muscle_gain,49.7,1472,79.52,109.34,129.22,54.08,81.12,135.2,0.8,79.52,1,81.12,1.2,81.12,1,99.4,0.735207101,36.5397929,21.77514793,14.72,0,89.46,135
37,Female,67,lightly_active,muscle_gain,44.6,1339,71.36,98.12,115.96,53.6,80.4,134,1.1,98.12,1,80.4,1.2,80.4,1,89.2,0.665671642,29.68895522,19.98507463,13.39,1,89.2,125
59,Female,53.8,sedentary,weight_loss,33.8,1048,54.08,74.36,87.88,43.04,64.56,107.6,0.8,54.08,1.2,77.472,1.2,64.56,1.3,87.88,0.628252788,21.23494424,19.4795539,10.48,0,60.84,101
31,Male,68,moderately_active,weight_loss,53.8,1549,86.08,118.36,139.88,54.4,81.6,136,1.4,150.64,1,81.6,1.4,95.2,1.3,139.88,0.791176471,42.56529412,22.77941176,15.49,0,96.84,129
29,Female,70.7,moderately_active,weight_loss,47.1,1405,75.36,103.62,122.46,56.56,84.84,141.4,1.4,131.88,1,84.84,1.2,84.84,1.3,122.46,0.666195191,31.37779349,19.87270156,14.05,0,84.78,156
31,Male,54.2,lightly_active,weight_loss,47.6,1450,76.16,104.72,123.76,43.36,65.04,108.4,1.1,104.72,1,65.04,1.4,75.88,1.3,123.76,0.878228782,41.80369004,26.75276753,14.5,0,85.68,101
34,Male,59.1,sedentary,muscle_gain,49.6,1470,79.36,109.12,128.96,47.28,70.92,118.2,0.8,79.36,1,70.92,1.4,82.74,1,99.2,0.839255499,41.62707276,24.87309645,14.7,0,89.28,120
22,Female,76.5,lightly_active,muscle_gain,53.6,1561,85.76,117.92,139.36,61.2,91.8,153,1.1,117.92,1,91.8,1.2,91.8,1,107.2,0.700653595,37.55503268,20.40522876,15.61,1,107.2,145
40,Male,99.1,moderately_active,maintain,73.7,1979,117.92,162.14,191.62,79.28,118.92,198.2,1.4,206.36,1,118.92,1.4,138.74,1,147.4,0.743693239,54.81019173,19.96972755,19.79,2,162.14,137
17,Male,52.7,very_active,weight_loss,48,1477,76.8,105.6,124.8,42.16,63.24,105.4,1.7,163.2,1,63.24,1.4,73.78,1.3,124.8,0.910815939,43.71916509,28.02656546,14.77,0,86.4,111
44,Male,91.7,lightly_active,weight_loss,66,1813,105.6,145.2,171.6,73.36,110.04,183.4,1.1,145.2,1,110.04,1.4,128.38,1.3,171.6,0.719738277,47.50272628,19.77099237,18.13,0,118.8,210
24,Male,47.2,sedentary,maintain,44,1417,70.4,96.8,114.4,37.76,56.64,94.4,0.8,70.4,1,56.64,1.4,66.08,1,88,0.93220339,41.01694915,30.02118644,14.17,0,79.2,65
28,Male,80.4,moderately_active,maintain,64.6,1786,103.36,142.12,167.96,64.32,96.48,160.8,1.4,180.88,1,96.48,1.4,112.56,1,129.2,0.803482587,51.90497512,22.21393035,17.86,2,142.12,91
17,Female,55.1,moderately_active,muscle_gain,41.2,1276,65.92,90.64,107.12,44.08,66.12,110.2,1.4,115.36,1,66.12,1.2,66.12,1,82.4,0.747731397,30.80653358,23.15789474,12.76,2,90.64,99
61,Male,76.2,very_active,weight_loss,57.5,1616,92,126.5,149.5,60.96,91.44,152.4,1.7,195.5,1.2,109.728,1.4,106.68,1.3,149.5,0.754593176,43.38910761,21.20734908,16.16,0,103.5,182
16,Female,49.4,sedentary,maintain,38.9,1238,62.24,85.58,101.14,39.52,59.28,98.8,0.8,62.24,1,59.28,1.2,59.28,1,77.8,0.787449393,30.63178138,25.06072874,12.38,0,70.02,53
21,Female,51.8,moderately_active,weight_gain,40,1258,64,88,104,41.44,62.16,103.6,1.4,112,1,62.16,1.2,62.16,1.5,120,0.772200772,30.88803089,24.28571429,12.58,4,104,81
46,Male,69.9,moderately_active,weight_gain,54.5,1556,87.2,119.9,141.7,55.92,83.88,139.8,1.4,152.6,1,83.88,1.4,97.86,1.5,163.5,0.779685265,42.49284692,22.26037196,15.56,4,141.7,110
24,Male,87.3,very_active,weight_loss,66.1,1823,105.76,145.42,171.86,69.84,104.76,174.6,1.7,224.74,1,104.76,1.4,122.22,1.3,171.86,0.757159221,50.04822451,20.88201604,18.23,0,118.98,164
30,Male,78.7,sedentary,weight_loss,61.9,1727,99.04,136.18,160.94,62.96,94.44,157.4,0.8,99.04,1,94.44,1.4,110.18,1.3,160.94,0.786531131,48.686277,21.94409149,17.27,0,111.42,164
17,Female,63.8,moderately_active,weight_loss,44.1,1341,70.56,97.02,114.66,51.04,76.56,127.6,1.4,123.48,1,76.56,1.2,76.56,1.3,114.66,0.691222571,30.48291536,21.01880878,13.41,0,79.38,144
49,Male,59.6,lightly_active,muscle_gain,46.1,1364,73.76,101.42,119.86,47.68,71.52,119.2,1.1,101.42,1,71.52,1.4,83.44,1,92.2,0.773489933,35.65788591,22.88590604,13.64,1,92.2,117
28,Female,57.3,moderately_active,weight_gain,41.3,1267,66.08,90.86,107.38,45.84,68.76,114.6,1.4,115.64,1,68.76,1.2,68.76,1.5,123.9,0.720767888,29.76771379,22.11169284,12.67,4,107.38,83
27,Male,53.4,sedentary,weight_loss,46.7,1425,74.72,102.74,121.42,42.72,64.08,106.8,0.8,74.72,1,64.08,1.4,74.76,1.3,121.42,0.874531835,40.8406367,26.68539326,14.25,0,84.06,115
23,Female,55.5,lightly_active,muscle_gain,41.8,1293,66.88,91.96,108.68,44.4,66.6,111,1.1,91.96,1,66.6,1.2,66.6,1,83.6,0.753153153,31.4818018,23.2972973,12.93,1,83.6,121
28,Male,65.3,lightly_active,weight_loss,55.3,1600,88.48,121.66,143.78,52.24,78.36,130.6,1.1,121.66,1,78.36,1.4,91.42,1.3,143.78,0.846860643,46.83139357,24.50229709,16,0,99.54,121
30,Male,74,lightly_active,muscle_gain,59.2,1669,94.72,130.24,153.92,59.2,88.8,148,1.1,130.24,1,88.8,1.4,103.6,1,118.4,0.8,47.36,22.55405405,16.69,1,118.4,141
68,Female,60.1,lightly_active,maintain,38.5,1170,61.6,84.7,100.1,48.08,72.12,120.2,1.1,84.7,1.2,86.544,1.2,72.12,1,77,0.640599002,24.66306156,19.46755408,11.7,1,77,83
46,Female,51.1,sedentary,muscle_gain,36.4,1138,58.24,80.08,94.64,40.88,61.32,102.2,0.8,58.24,1,61.32,1.2,61.32,1,72.8,0.712328767,25.92876712,22.27005871,11.38,0,65.52,104
51,Male,69.5,very_active,weight_loss,51.2,1474,81.92,112.64,133.12,55.6,83.4,139,1.7,174.08,1.2,100.08,1.4,97.3,1.3,133.12,0.736690647,37.71856115,21.20863309,14.74,0,92.16,146
18,Female,54.4,very_active,weight_loss,41.2,1279,65.92,90.64,107.12,43.52,65.28,108.8,1.7,140.08,1,65.28,1.2,65.28,1.3,107.12,0.757352941,31.20294118,23.51102941,12.79,0,74.16,108
38,Male,69.5,sedentary,weight_loss,57.1,1628,91.36,125.62,148.46,55.6,83.4,139,0.8,91.36,1,83.4,1.4,97.3,1.3,148.46,0.821582734,46.9123741,23.42446043,16.28,0,102.78,149
60,Female,44.7,lightly_active,weight_gain,30.1,957,48.16,66.22,78.26,35.76,53.64,89.4,1.1,66.22,1.2,64.368,1.2,53.64,1.5,90.3,0.673378076,20.26868009,21.40939597,9.57,2,66.22,71
31,Female,49.8,moderately_active,maintain,37.3,1181,59.68,82.06,96.98,39.84,59.76,99.6,1.4,104.44,1,59.76,1.2,59.76,1,74.6,0.748995984,27.9375502,23.71485944,11.81,2,82.06,61
42,Male,82.3,moderately_active,maintain,62,1721,99.2,136.4,161.2,65.84,98.76,164.6,1.4,173.6,1,98.76,1.4,115.22,1,124,0.753341434,46.70716889,20.91130012,17.21,2,136.4,89
35,Male,88.2,extra_active,weight_loss,69.9,1896,111.84,153.78,181.74,70.56,105.84,176.4,0.8,111.84,1,105.84,1.4,123.48,1.3,181.74,0.792517007,55.39693878,21.49659864,18.96,0,125.82,186
62,Male,72.1,very_active,muscle_gain,54.3,1542,86.88,119.46,141.18,57.68,86.52,144.2,1.7,184.62,1.2,103.824,1.4,100.94,1,108.6,0.753120666,40.89445215,21.38696255,15.42,3,130.32,132
27,Female,50.1,very_active,maintain,38.2,1208,61.12,84.04,99.32,40.08,60.12,100.2,1.7,129.88,1,60.12,1.2,60.12,1,76.4,0.76247505,29.12654691,24.11177645,12.08,3,91.68,59
21,Female,47.6,moderately_active,maintain,37.8,1216,60.48,83.16,98.28,38.08,57.12,95.2,1.4,105.84,1,57.12,1.2,57.12,1,75.6,0.794117647,30.01764706,25.54621849,12.16,2,83.16,51
26,Male,55.1,lightly_active,maintain,46.8,1414,74.88,102.96,121.68,44.08,66.12,110.2,1.1,102.96,1,66.12,1.4,77.14,1,93.6,0.849364791,39.75027223,25.66243194,14.14,1,93.6,60
19,Male,64.1,lightly_active,weight_loss,54,1572,86.4,118.8,140.4,51.28,76.92,128.2,1.1,118.8,1,76.92,1.4,89.74,1.3,140.4,0.842433697,45.49141966,24.52418097,15.72,0,97.2,136
25,Female,50.6,moderately_active,maintain,39.1,1236,62.56,86.02,101.66,40.48,60.72,101.2,1.4,109.48,1,60.72,1.2,60.72,1,78.2,0.772727273,30.21363636,24.42687747,12.36,2,86.02,68
23,Female,76.1,sedentary,muscle_gain,49.7,1476,79.52,109.34,129.22,60.88,91.32,152.2,0.8,79.52,1,91.32,1.2,91.32,1,99.4,0.653088042,32.45847569,19.39553219,14.76,0,89.46,151
37,Female,64.2,moderately_active,muscle_gain,43.5,1312,69.6,95.7,113.1,51.36,77.04,128.4,1.4,121.8,1,77.04,1.2,77.04,1,87,0.677570093,29.47429907,20.43613707,13.12,2,95.7,134
28,Male,68.5,very_active,maintain,56.6,1620,90.56,124.52,147.16,54.8,82.2,137,1.7,192.44,1,82.2,1.4,95.9,1,113.2,0.826277372,46.76729927,23.64963504,16.2,3,135.84,79
36,Male,71,sedentary,weight_loss,56.7,1611,90.72,124.74,147.42,56.8,85.2,142,0.8,90.72,1,85.2,1.4,99.4,1.3,147.42,0.798591549,45.28014085,22.69014085,16.11,0,102.06,128
48,Male,58.9,moderately_active,weight_gain,48.3,1433,77.28,106.26,125.58,47.12,70.68,117.8,1.4,135.24,1,70.68,1.4,82.46,1.5,144.9,0.820033956,39.60764007,24.32937182,14.33,4,125.58,101
31,Female,41.5,very_active,weight_gain,32.2,1066,51.52,70.84,83.72,33.2,49.8,83,1.7,109.48,1,49.8,1.2,49.8,1.5,96.6,0.775903614,24.98409639,25.68674699,10.66,6,96.6,73
49,Male,84.5,sedentary,weight_loss,59.8,1675,95.68,131.56,155.48,67.6,101.4,169,0.8,95.68,1,101.4,1.4,118.3,1.3,155.48,0.707692308,42.32,19.82248521,16.75,0,107.64,168
28,Female,65.8,extra_active,weight_loss,43,1309,68.8,94.6,111.8,52.64,78.96,131.6,0.8,68.8,1,78.96,1.2,78.96,1.3,111.8,0.653495441,28.10030395,19.89361702,13.09,0,77.4,157
34,Male,45,lightly_active,muscle_gain,40.4,1306,64.64,88.88,105.04,36,54,90,1.1,88.88,1,54,1.4,63,1,80.8,0.897777778,36.27022222,29.02222222,13.06,1,80.8,82
21,Female,65.1,lightly_active,weight_loss,47.5,1420,76,104.5,123.5,52.08,78.12,130.2,1.1,104.5,1,78.12,1.2,78.12,1.3,123.5,0.729646697,34.65821813,21.81259601,14.2,0,85.5,125
41,Female,69.6,moderately_active,weight_gain,44.1,1327,70.56,97.02,114.66,55.68,83.52,139.2,1.4,123.48,1,83.52,1.2,83.52,1.5,132.3,0.63362069,27.94267241,19.06609195,13.27,4,114.66,117
65,Female,59.5,sedentary,muscle_gain,37.8,1150,60.48,83.16,98.28,47.6,71.4,119,0.8,60.48,1.2,85.68,1.2,71.4,1,75.6,0.635294118,24.01411765,19.32773109,11.5,0,68.04,123
26,Male,84,moderately_active,muscle_gain,64.8,1792,103.68,142.56,168.48,67.2,100.8,168,1.4,181.44,1,100.8,1.4,117.6,1,129.6,0.771428571,49.98857143,21.33333333,17.92,2,142.56,183
28,Male,74.4,moderately_active,maintain,59.1,1667,94.56,130.02,153.66,59.52,89.28,148.8,1.4,165.48,1,89.28,1.4,104.16,1,118.2,0.794354839,46.94637097,22.40591398,16.67,2,130.02,99
31,Male,68.6,lightly_active,muscle_gain,54.7,1570,87.52,120.34,142.22,54.88,82.32,137.2,1.1,120.34,1,82.32,1.4,96.04,1,109.4,0.797376093,43.6164723,22.88629738,15.7,1,109.4,129
28,Female,52.3,sedentary,weight_loss,38.7,1210,61.92,85.14,100.62,41.84,62.76,104.6,0.8,61.92,1,62.76,1.2,62.76,1.3,100.62,0.739961759,28.63652008,23.13575526,12.1,0,69.66,102
40,Female,59.4,very_active,maintain,41,1250,65.6,90.2,106.6,47.52,71.28,118.8,1.7,139.4,1,71.28,1.2,71.28,1,82,0.69023569,28.2996633,21.04377104,12.5,3,98.4,62
17,Female,54.2,lightly_active,muscle_gain,42,1305,67.2,92.4,109.2,43.36,65.04,108.4,1.1,92.4,1,65.04,1.2,65.04,1,84,0.774907749,32.54612546,24.07749077,13.05,1,84,104
20,Female,58.9,moderately_active,maintain,43.5,1327,69.6,95.7,113.1,47.12,70.68,117.8,1.4,121.8,1,70.68,1.2,70.68,1,87,0.738539898,32.12648557,22.52971138,13.27,2,95.7,71
58,Female,64.7,very_active,weight_loss,40.9,1234,65.44,89.98,106.34,51.76,77.64,129.4,1.7,139.06,1.2,93.168,1.2,77.64,1.3,106.34,0.632148377,25.85486862,19.07264297,12.34,0,73.62,126
30,Male,57.1,moderately_active,weight_loss,47.9,1433,76.64,105.38,124.54,45.68,68.52,114.2,1.4,134.12,1,68.52,1.4,79.94,1.3,124.54,0.838879159,40.18231173,25.09632224,14.33,0,86.22,127
43,Female,44.4,lightly_active,weight_loss,33.8,1104,54.08,74.36,87.88,35.52,53.28,88.8,1.1,74.36,1,53.28,1.2,53.28,1.3,87.88,0.761261261,25.73063063,24.86486486,11.04,0,60.84,104
33,Male,62,sedentary,weight_loss,50.7,1487,81.12,111.54,131.82,49.6,74.4,124,0.8,81.12,1,74.4,1.4,86.8,1.3,131.82,0.817741935,41.45951613,23.98387097,14.87,0,91.26,119
31,Male,64.1,lightly_active,muscle_gain,54.7,1592,87.52,120.34,142.22,51.28,76.92,128.2,1.1,120.34,1,76.92,1.4,89.74,1,109.4,0.853354134,46.67847114,24.83619345,15.92,1,109.4,140
34,Male,61.1,sedentary,muscle_gain,52,1530,83.2,114.4,135.2,48.88,73.32,122.2,0.8,83.2,1,73.32,1.4,85.54,1,104,0.85106383,44.25531915,25.04091653,15.3,0,93.6,133
48,Male,56.1,lightly_active,weight_gain,44.5,1335,71.2,97.9,115.7,44.88,67.32,112.2,1.1,97.9,1,67.32,1.4,78.54,1.5,133.5,0.793226381,35.29857398,23.79679144,13.35,2,97.9,86
35,Male,82,lightly_active,weight_loss,63.5,1757,101.6,139.7,165.1,65.6,98.4,164,1.1,139.7,1,98.4,1.4,114.8,1.3,165.1,0.774390244,49.17378049,21.42682927,17.57,0,114.3,174
48,Female,53.2,very_active,weight_loss,38,1181,60.8,83.6,98.8,42.56,63.84,106.4,1.7,129.2,1,63.84,1.2,63.84,1.3,98.8,0.714285714,27.14285714,22.19924812,11.81,0,68.4,119
30,Male,66.7,moderately_active,maintain,56.8,1635,90.88,124.96,147.68,53.36,80.04,133.4,1.4,159.04,1,80.04,1.4,93.38,1,113.6,0.851574213,48.36941529,24.51274363,16.35,2,124.96,89
33,Female,60.1,sedentary,weight_loss,41,1254,65.6,90.2,106.6,48.08,72.12,120.2,0.8,65.6,1,72.12,1.2,72.12,1.3,106.6,0.682196339,27.97004992,20.86522463,12.54,0,73.8,116
34,Male,63,lightly_active,muscle_gain,52.8,1540,84.48,116.16,137.28,50.4,75.6,126,1.1,116.16,1,75.6,1.4,88.2,1,105.6,0.838095238,44.25142857,24.44444444,15.4,1,105.6,130
33,Male,61.9,moderately_active,maintain,52.8,1549,84.48,116.16,137.28,49.52,74.28,123.8,1.4,147.84,1,74.28,1.4,86.66,1,105.6,0.852988691,45.03780291,25.02423263,15.49,2,116.16,81
25,Male,80,lightly_active,weight_loss,64.3,1782,102.88,141.46,167.18,64,96,160,1.1,141.46,1,96,1.4,112,1.3,167.18,0.80375,51.681125,22.275,17.82,0,115.74,161
31,Male,70,lightly_active,maintain,57.5,1637,92,126.5,149.5,56,84,140,1.1,126.5,1,84,1.4,98,1,115,0.821428571,47.23214286,23.38571429,16.37,1,115,93
39,Female,56.5,extra_active,weight_loss,39.2,1206,62.72,86.24,101.92,45.2,67.8,113,0.8,62.72,1,67.8,1.2,67.8,1.3,101.92,0.69380531,27.19716814,21.34513274,12.06,0,70.56,124
33,Male,72.4,moderately_active,muscle_gain,59.3,1675,94.88,130.46,154.18,57.92,86.88,144.8,1.4,166.04,1,86.88,1.4,101.36,1,118.6,0.819060773,48.57030387,23.13535912,16.75,2,130.46,145
28,Female,64.2,sedentary,weight_loss,45.8,1375,73.28,100.76,119.08,51.36,77.04,128.4,0.8,73.28,1,77.04,1.2,77.04,1.3,119.08,0.713395639,32.67352025,21.41744548,13.75,0,82.44,122
39,Male,76.7,very_active,muscle_gain,58.7,1650,93.92,129.14,152.62,61.36,92.04,153.4,1.7,199.58,1,92.04,1.4,107.38,1,117.4,0.765319426,44.92425033,21.51238592,16.5,3,140.88,167
37,Female,53.1,lightly_active,weight_loss,37.6,1170,60.16,82.72,97.76,42.48,63.72,106.2,1.1,82.72,1,63.72,1.2,63.72,1.3,97.76,0.708097928,26.62448211,22.03389831,11.7,0,67.68,100
30,Female,39.9,moderately_active,maintain,31.5,1060,50.4,69.3,81.9,31.92,47.88,79.8,1.4,88.2,1,47.88,1.2,47.88,1,63,0.789473684,24.86842105,26.56641604,10.6,2,69.3,51
45,Female,67,moderately_active,muscle_gain,44.9,1341,71.84,98.78,116.74,53.6,80.4,134,1.4,125.72,1,80.4,1.2,80.4,1,89.8,0.670149254,30.08970149,20.01492537,13.41,2,98.78,122
59,Male,74.7,sedentary,maintain,55.7,1574,89.12,122.54,144.82,59.76,89.64,149.4,0.8,89.12,1.2,107.568,1.4,104.58,1,111.4,0.745649264,41.53266399,21.07095047,15.74,0,100.26,80
39,Male,79.1,lightly_active,muscle_gain,60,1679,96,132,156,63.28,94.92,158.2,1.1,132,1,94.92,1.4,110.74,1,120,0.758533502,45.51201011,21.22629583,16.79,1,120,164
47,Male,62.1,very_active,maintain,49.9,1461,79.84,109.78,129.74,49.68,74.52,124.2,1.7,169.66,1,74.52,1.4,86.94,1,99.8,0.803542673,40.09677939,23.52657005,14.61,3,119.76,73
62,Female,50.1,moderately_active,maintain,32.1,1002,51.36,70.62,83.46,40.08,60.12,100.2,1.4,89.88,1.2,72.144,1.2,60.12,1,64.2,0.640718563,20.56706587,20,10.02,2,70.62,69
28,Male,53.5,lightly_active,muscle_gain,47.3,1447,75.68,104.06,122.98,42.8,64.2,107,1.1,104.06,1,64.2,1.4,74.9,1,94.6,0.88411215,41.81850467,27.04672897,14.47,1,94.6,107
19,Male,70.1,moderately_active,muscle_gain,57.1,1632,91.36,125.62,148.46,56.08,84.12,140.2,1.4,159.88,1,84.12,1.4,98.14,1,114.2,0.814550642,46.51084165,23.2810271,16.32,2,125.62,135
29,Female,68,sedentary,muscle_gain,46,1377,73.6,101.2,119.6,54.4,81.6,136,0.8,73.6,1,81.6,1.2,81.6,1,92,0.676470588,31.11764706,20.25,13.77,0,82.8,149
17,Male,69.4,sedentary,weight_loss,60.4,1720,96.64,132.88,157.04,55.52,83.28,138.8,0.8,96.64,1,83.28,1.4,97.16,1.3,157.04,0.870317003,52.56714697,24.78386167,17.2,0,108.72,132
33,Female,51.1,sedentary,muscle_gain,36.9,1159,59.04,81.18,95.94,40.88,61.32,102.2,0.8,59.04,1,61.32,1.2,61.32,1,73.8,0.722113503,26.64598826,22.68101761,11.59,0,66.42,98
25,Male,61.3,moderately_active,maintain,53.1,1561,84.96,116.82,138.06,49.04,73.56,122.6,1.4,148.68,1,73.56,1.4,85.82,1,106.2,0.866231648,45.99690049,25.46492659,15.61,2,116.82,83
27,Male,66.5,moderately_active,maintain,56.9,1637,91.04,125.18,147.94,53.2,79.8,133,1.4,159.32,1,79.8,1.4,93.1,1,113.8,0.855639098,48.68586466,24.61654135,16.37,2,125.18,90
35,Female,64.3,very_active,weight_loss,43.8,1319,70.08,96.36,113.88,51.44,77.16,128.6,1.7,148.92,1,77.16,1.2,77.16,1.3,113.88,0.68118196,29.83576983,20.51321928,13.19,0,78.84,140
22,Male,60.4,moderately_active,maintain,52.1,1537,83.36,114.62,135.46,48.32,72.48,120.8,1.4,145.88,1,72.48,1.4,84.56,1,104.2,0.862582781,44.94056291,25.44701987,15.37,2,114.62,64
18,Female,60.1,lightly_active,weight_loss,44.2,1344,70.72,97.24,114.92,48.08,72.12,120.2,1.1,97.24,1,72.12,1.2,72.12,1.3,114.92,0.735440932,32.50648918,22.36272879,13.44,0,79.56,127
29,Male,73.6,very_active,weight_loss,60.6,1705,96.96,133.32,157.56,58.88,88.32,147.2,1.7,206.04,1,88.32,1.4,103.04,1.3,157.56,0.823369565,49.89619565,23.16576087,17.05,0,109.08,162
33,Male,78.4,sedentary,weight_loss,61.2,1710,97.92,134.64,159.12,62.72,94.08,156.8,0.8,97.92,1,94.08,1.4,109.76,1.3,159.12,0.780612245,47.77346939,21.81122449,17.1,0,110.16,157
27,Female,52.5,sedentary,weight_gain,39.3,1229,62.88,86.46,102.18,42,63,105,0.8,62.88,1,63,1.2,63,1.5,117.9,0.748571429,29.41885714,23.40952381,12.29,0,70.74,93
26,Female,70.5,sedentary,weight_loss,48.9,1449,78.24,107.58,127.14,56.4,84.6,141,0.8,78.24,1,84.6,1.2,84.6,1.3,127.14,0.693617021,33.91787234,20.55319149,14.49,0,88.02,138
28,Female,75.2,sedentary,weight_loss,49.2,1459,78.72,108.24,127.92,60.16,90.24,150.4,0.8,78.72,1,90.24,1.2,90.24,1.3,127.92,0.654255319,32.1893617,19.40159574,14.59,0,88.56,145
30,Male,46,sedentary,weight_loss,41.1,1315,65.76,90.42,106.86,36.8,55.2,92,0.8,65.76,1,55.2,1.4,64.4,1.3,106.86,0.893478261,36.72195652,28.58695652,13.15,0,73.98,94
33,Female,58.7,lightly_active,weight_gain,42.2,1287,67.52,92.84,109.72,46.96,70.44,117.4,1.1,92.84,1,70.44,1.2,70.44,1.5,126.6,0.71890971,30.33798978,21.92504259,12.87,2,92.84,86
26,Male,72.3,lightly_active,weight_loss,60.4,1704,96.64,132.88,157.04,57.84,86.76,144.6,1.1,132.88,1,86.76,1.4,101.22,1.3,157.04,0.835408022,50.45864454,23.56846473,17.04,0,108.72,155
34,Male,56.5,moderately_active,muscle_gain,47.3,1419,75.68,104.06,122.98,45.2,67.8,113,1.4,132.44,1,67.8,1.4,79.1,1,94.6,0.837168142,39.5980531,25.11504425,14.19,2,104.06,103
27,Female,50.7,lightly_active,weight_gain,36.1,1139,57.76,79.42,93.86,40.56,60.84,101.4,1.1,79.42,1,60.84,1.2,60.84,1.5,108.3,0.712031558,25.70433925,22.46548323,11.39,2,79.42,72
24,Male,74.1,extra_active,weight_gain,58.5,1656,93.6,128.7,152.1,59.28,88.92,148.2,0.8,93.6,1,88.92,1.4,103.74,1.5,175.5,0.789473684,46.18421053,22.34817814,16.56,0,105.3,109
66,Female,42,lightly_active,maintain,29.5,955,47.2,64.9,76.7,33.6,50.4,84,1.1,64.9,1.2,60.48,1.2,50.4,1,59,0.702380952,20.7202381,22.73809524,9.55,1,59,50
45,Male,56.5,very_active,weight_loss,48.1,1448,76.96,105.82,125.06,45.2,67.8,113,1.7,163.54,1,67.8,1.4,79.1,1.3,125.06,0.851327434,40.94884956,25.62831858,14.48,0,86.58,102
26,Male,80.4,moderately_active,weight_loss,61.2,1715,97.92,134.64,159.12,64.32,96.48,160.8,1.4,171.36,1,96.48,1.4,112.56,1.3,159.12,0.76119403,46.58507463,21.33084577,17.15,0,110.16,173
33,Female,57,sedentary,weight_loss,41.3,1267,66.08,90.86,107.38,45.6,68.4,114,0.8,66.08,1,68.4,1.2,68.4,1.3,107.38,0.724561404,29.92438596,22.22807018,12.67,0,74.34,124
34,Female,47.3,lightly_active,muscle_gain,33.4,1066,53.44,73.48,86.84,37.84,56.76,94.6,1.1,73.48,1,56.76,1.2,56.76,1,66.8,0.706131078,23.58477801,22.53699789,10.66,1,66.8,103
33,Female,48,moderately_active,weight_loss,36.4,1163,58.24,80.08,94.64,38.4,57.6,96,1.4,101.92,1,57.6,1.2,57.6,1.3,94.64,0.758333333,27.60333333,24.22916667,11.63,0,65.52,87
38,Female,56.3,very_active,muscle_gain,39.3,1210,62.88,86.46,102.18,45.04,67.56,112.6,1.7,133.62,1,67.56,1.2,67.56,1,78.6,0.698046181,27.43321492,21.4920071,12.1,3,94.32,103
